Vendor ID,Vendor,Count
1313,Perl Foundation ,9
1327,PHP Group ,9
1341,Plantronics ,9
1348,Poll Everywhere ,9
1351,PostgreSQL Global Development Group ,9
1354,Pragmatic Works ,9
1364,Prodigy Diabetes Care ,9
1369,Prosystech ,9
1385,QLogic ,9
1445,Rockwell Automation ,9
1464,R-Tools Technology Inc. ,9
1495,ScienceLogic ,9
1509,Seiko Instruments ,9
1565,SonaType ,9
1570,Sony Creative Software ,9
1590,Sprint ,9
1595,Squirrels LLC ,9
1661,TeleMate.Net Software ,9
1675,TextHelp Systems Ltd. ,9
1778,Varian Medical Systems ,9
1799,vidyo ,9
1801,VIM Community ,9
1806,Vision Solutions ,9
1826,VSS Monitoring ,9
1833,Wasp Barcode Technologies ,9
1837,Wave Systems ,9
1842,WebAim ,9
1870,WinSCP ,9
1889,Xceed ,9
1890,Xerox ,9
1913,ZEROTURNAROUND ,9
1917,Zmanda ,9
1919,Zoom International ,9
11,"Abacus Data Systems, Inc. ",8
12,Abbott ,8
17,Absolute Software ,8
41,AECOM ,8
47,AgilePoint ,8
74,Alloy Software ,8
76,Alpha II ,8
119,Aperta Ltd. ,8
129,Araxis ,8
148,Assima ,8
152,Asure Software ,8
154,AT&T Research Labs ,8
156,Aternity ,8
157,AtHoc ,8
160,Atlas Business Solutions ,8
172,AutoHotKey ,8
214,BioEx Systems ,8
233,Bluebeam Software ,8
247,Brian LeRoux ,8
251,British Columbia Institute of Technology (BCIT) ,8
262,Bureau of the Fiscal Service ,8
278,Capital Solution Design ,8
302,CFEngine ,8
303,Chalk ,8
307,CheckStyle ,8
321,CKAN ,8
323,ClassApps ,8
365,Connect Community Portal ,8
384,Cryptzone ,8
405,"Data Management, Inc. ",8
417,DAZ 3D Inc. ,8
419,DbUnit ,8
433,"Denodo Technologies, Inc. ",8
441,DevExpress ,8
476,DocuSign ,8
477,Dojo Foundation ,8
500,Ducklink Software ,8
545,Emulex ,8
549,Enghouse Interactive ,8
564,Esha Research ,8
593,Fast Reports Inc. ,8
597,FDA ,8
620,Forbes Lindesay ,8
642,Genarts ,8
647,GenoPro ,8
652,GetWellNetwork Inc ,8
660,gMed ,8
718,Hitachi ,8
720,"HLN Consulting, LLC ",8
725,Hortonworks ,8
745,Identiv ,8
762,ImgBurn ,8
810,InterSect Alliance ,8
812,Interton ,8
823,Isaac Z. Schlueter ,8
